id,Source,Target,Date
595,John Hancock,a Continental Officer,1776-04-03
596,William Whipple,Josiah Bartlett,1776-04-05
597,Elbridge Gerry,James Warren,1776-04-06
598,Robert Morris,Horatio Gates,1776-04-06
599,Francis Lightfoot Lee,Landon Carter,1776-04-09
600,Joseph Hewes,Samuel Johnston,1776-04-09
601,Oliver Wolcott,Mrs. Wolcott,1776-04-10
602,John Hancock, New Hampshire Assembly,1776-04-12
603,William Whipple,Meshech Weare,1776-04-12
604,Maryland Delegates, Maryland Council of Safety,1776-04-12
605,Thomas McKean,Philip Schuyler,1776-04-13
606,Carter Braxton,Landon Carter,1776-04-14
607,Benjamin Franklin,Josiah Quincy,1776-04-15
608,John Hancock,Israel Putnam,1776-04-16
609,John Hancock, Maryland Council of Safety,1776-04-16
610,John Hancock, Baltimore Committee,1776-04-16
611,John Adams,James Warren,1776-04-16
612,James Duane,Walter Livingston,1776-04-17
613,Oliver Wolcott,Samuel Lyman,1776-04-17
614,Thomas Johnson jr., Maryland Council of Safety,1776-04-17
615,Oliver Wolcott,Mrs. Wolcott,1776-04-17
616,Maryland Delegates, Maryland Council of Safety,1776-04-18
617,William Whipple,John Langdon,1776-04-20
618,Richard Henry Lee,Charles Lee,1776-04-22
619,Thomas Johnson jr.,Daniel of St. Thomas Jenifer,1776-04-23
620,John Hancock,George Washington,1776-04-23
621,John Hancock,Artemas Ward,1776-04-24
622,John Hancock,Joseph Frye,1776-04-24
623,Thomas Stone,Daniel of St. Thomas Jenifer,1776-04-24
624,Maryland Delegates, Maryland Council of Safety,1776-04-25
625,John Jay, New York Committee of Safety,1776-04-27
626,John Adams,Horatio Gates,1776-04-27
627,John Adams,Mrs. Adams,1776-04-28
628,William Whipple,John Langdon,1776-04-29
629,Samuel Adams,John Scollay,1776-04-30
630,John Hancock, Massachusetts Council,1776-04-30
631,James Duane, New York Convention,1776-04-30
632,Elbridge Gerry,James Warren,1776-05-01
633,John Hancock,George Washington,1776-05-04
634,New York Delegates, New York Committee of Safety,1776-05-05
635,Richard Henry Lee,Samuel Purviance jr.,1776-05-06
636,John Hancock,Esek Hopkins,1776-05-07
637,William Floyd,John McKesson,1776-05-09
638,Richard Henry Lee,Charles Lee,1776-05-11
639,James Duane,John Jay,1776-05-11
640,John Hancock,Joseph Trumbull,1776-05-11
641,Samuel Adams,James Warren,1776-05-12
642,John Hancock,George Washington,1776-05-13
643,John Adams,James Warren,1776-05-15
644,Stephen Hopkins,Nicholas Cooke,1776-05-15
645,Samuel Adams,George Washington,1776-05-15
646,Joseph Hewes,Samuel Johnston,1776-05-16
647,Oliver Wolcott,Samuel Lyman,1776-05-16
648,Oliver Wolcott,Mrs. Wolcott,1776-05-16
649,John Hancock,George Washington,1776-05-16
650,John Hancock, Massachusetts Assembly,1776-05-16
651,Secret Committee,George Washington,1776-05-16
652,William Whipple,Meshech Weare,1776-05-16
653,James Duane,John Jay,1776-05-16
654,John Adams,Mrs. Adams,1776-05-17
655,Carter Braxton,Landon Carter,1776-05-17
656,Thomas Jefferson,John Page,1776-05-17
657,Joseph Hewes,James Iredell,1776-05-17
658,Caesar Rodney,Thomas Rodney,1776-05-17
659,William Whipple,Meshech Weare,1776-05-17
660,Richard Henry Lee,Charles Lee,1776-05-18
661,William Whipple,John Langdon,1776-05-18
662,Joseph Hewes,William Tokeley,1776-05-18
663,Josiah Bartlett,John Langdon,1776-05-19
664,William Whipple,John Langdon,1776-05-20
665,Elbridge Gerry,James Warren,1776-05-20
666,John Adams,James Warren,1776-05-20
667,Richard Henry Lee,Charles Lee,1776-05-21
668,Caesar Rodney,Thomas Rodney,1776-05-22
669,John Hancock,Mrs. Susannah Connolly,1776-05-23
670,John Hancock,John Thomas,1776-05-24
671,James Duane,John Jay,1776-05-25
672,John Hancock, Officer Commanding in Philadelphia,1776-05-25
673,John Hancock, Officer Commanding in Philadelphia,1776-05-26
674,Joseph Hewes,Samuel Johnston,1776-05-26
675,William Whipple,John Langdon,1776-05-28
676,New Hampshire Delegates,Meshech Weare,1776-05-28
677,Caesar Rodney,Thomas Rodney,1776-05-29
678,John Adams,Benjamin Hichborn,1776-05-29
679,Elbridge Gerry,Joseph Palmer,1776-05-31
680,Richard Henry Lee,Landon Carter,1776-06-02
681,William Whipple,John Langdon,1776-06-02
682,Josiah Bartlett,John Langdon,1776-06-03
683,Massachusetts Delegates, President of Massachusetts Council,1776-06-03
684,John Adams,Patrick Henry,1776-06-03
685,John Hancock,George Washington,1776-06-03
686,New Hampshire Delegates,Meshech Weare,1776-06-04
687,Joseph Hewes,Samuel Johnston,1776-06-04
688,John Hancock, New Hampshire Convention,1776-06-04
689,William Whipple,John Langdon,1776-06-05
690,Samuel Adams,James Warren,1776-06-06
691,Josiah Bartlett,Nathaniel Folsom,1776-06-06
692,John Hancock,George Washington,1776-06-07
693,Edward Rutledge,John Jay,1776-06-08
694,New York Delegates,Nathaniel Woodhull,1776-06-08
695,Elbridge Gerry,Joseph Trumbull,1776-06-08
696,John Adams,William Cushing,1776-06-09
697,William Whipple,John Langdon,1776-06-10
698,Samuel Adams,Horatio Gates,1776-06-10
699,Josiah Bartlett,John Langdon,1776-06-10
700,John Hancock,George Washington,1776-06-10
701,John Hancock,George Washington,1776-06-11
702,John Hancock, Massachusetts Assembly,1776-06-11
703,New Hampshire Delegates,Meshech Weare,1776-06-11
704,Oliver Wolcott,Mrs. Wolcott,1776-06-11
705,Elbridge Gerry,James Warren,1776-06-11
706,John Hancock, New York Convention,1776-06-11
707,Maryland Delegates, Maryland Council of Safety,1776-06-11
708,Richard Henry Lee,George Washington,1776-06-13
709,Samuel Chase,Horatio Gates,1776-06-13
710,John Hancock,Charles Preston,1776-06-13
711,John Hancock, Pennsylvania Committee of Safety,1776-06-14
712,John Hancock,George Washington,1776-06-14
713,John Hancock,Esek Hopkins,1776-06-14
714,John Hancock,William Palfrey,1776-06-14
715,John Adams,Samuel Chase,1776-06-14
716,Maryland Delegates, Maryland Council of Safety,1776-06-15
717,Oliver Wolcott,Mrs. Wolcott,1776-06-15
718,John Adams,Mrs. Adams,1776-06-16
719,John Adams,James Warren,1776-06-16
720,New York Delegates,Nathaniel Wcodhull,1776-06-17
721,Josiah Bartlett,John Langdon,1776-06-17
722,William Whipple,John Langdon,1776-06-17
723,John Hancock,George Washington,1776-06-18
724,John Adams,Horatio Gates,1776-06-18
725,Elbridge Gerry,Joseph Trumbull,1776-06-18
726,Elbridge Gerry,Joseph Trumbull,1776-06-19
727,Robert Morris,Memorandum,1776-06-20
728,Benjamin Franklin,George Washington,1776-06-21
729,John Hancock, New York Convention,1776-06-21
730,Elbridge Gerry,John Wendell,1776-06-21
731,John Adams,Zabdiel Adams,1776-06-21
732,John Adams,Benjamin Kent,1776-06-22
733,John Adams,John Winthrop,1776-06-23
734,John Adams,Samuel Chase,1776-06-24
735,William Whipple,John Langdon,1776-06-24
736,Elbridge Gerry,Joseph Trumbull,1776-06-25
737,Elbridge Gerry,Horatio Gates,1776-06-25
738,George Clinton,John McKesson,1776-06-25
739,Elbridge Gerry,James Warren,1776-06-25
740,John Hancock,George Washington,1776-06-25
741,Joseph Hewes,Samuel Purviance jr.,1776-06-25
742,John Hancock, New York Convention,1776-06-26
743,George Clinton,John McKesson,1776-06-26
744,Josiah Bartlett,John Langdon,1776-06-26
745,John Hancock,George Washington,1776-06-26
746,John Adams,Mrs. Adams,1776-06-26
747,New York Delegates, New York Provincial Congress,1776-06-27
748,Joseph Hewes,James Iredell,1776-06-28
749,John Penn,Thomas Person,1776-06-28
750,Richard Henry Lee,Charles Lee,1776-06-29
751,Edward Rutledge,John Jay,1776-06-29
752,John Hancock,George Washington,1776-06-29
753,Francis Lightfoot Lee,Richard Henry Lee,1776-06-30
754,Josiah Bartlett,John Langdon,1776-07-01
755,Oliver Wolcott,Matw Griswold,1776-07-01
756,John Adams,Archibald Bulloch,1776-07-01
757,John Adams,Samuel Chase,1776-07-01
758,New York Delegates, New York Provincial Congress,1776-07-02
759,Henry Wisner, New York Provincial Congress,1776-07-02
760,Elbridge Gerry,James Warren,1776-07-02
761,John Adams,Mrs. Adams,1776-07-03
762,John Hancock, Maryland Convention,1776-07-04
763,Abraham Clark,Elias Dayton,1776-07-04
764,Caesar Rodney,Thomas Rodney,1776-07-04
765,Thomas McKean,Alexander James Dallas,1796-09-26  
766,Thomas McKean,Caesar A. Rodney,1813-09-22
767,Thomas Jefferson,Samuel Adams Wells,1819-05-12 
768,John Adams,William Plumer,1813-03-28 
769,John Hancock, New Jersey Convention,1776-07-05
770,Elbridge Gerry,James Warren,1776-07-05
771,John Hancock,William Cooper,1776-07-06
772,John Hancock,George Washington,1776-07-06
773,Thomas Jefferson,Richard Flenry Lee,1776-07-08
774,John Hancock,Horatio Gates,1776-07-08
775,Joseph Hewes,Samuel Johnston,1776-07-08
776,William Whipple,John Langdon,1776-07-08
777,New Hampshire Delegates, President of New Hampshire,1776-07-09
778,South Carolina Delegates,John Rutledge,1776-07-09
779,Abraham Clark,Samuel Tucker,1776-07-09
780,John Adams,Samuel Chase,1776-07-09
781,John Hancock,George Washington,1776-07-10
782,John Hancock,George Washington,1776-07-11
783,Thomas Stone, Maryland Council of Safety,1776-07-12
784,John Hancock,George Washington,1776-07-13
785,Abraham Clark,Elias Dayton,1776-07-14
786,Samuel Adams,Richard Henry Lee,1776-07-15
787,Josiah Bartlett,John Langdon,1776-07-15
788,Robert Treat Paine,Henry Knox,1776-07-16
789,John Alsop, New York Convention,1776-07-16
790,John Hancock, Massachusetts Assembly,1776-07-16
791,Thomas Jefferson,Patrick Henry,1776-07-16
792,John Hancock, New Jersey Convention,1776-07-19
793,John Hancock, New Jersey Convention,1776-07-19
794,Samuel Chase,Philip Schuyler,1776-07-19
795,Edward Rutledge,Robert R. Livingston,1776-07-20
796,William Ellery,Ezra Stiles,1776-07-20
797,James Wilson, Commissioners for Indian Affairs,1776-07-20
798,Robert Morris,Joseph Reed,1776-07-21
799,Elbridge Gerry,Samuel Adams,1776-07-21
800,Elbridge Gerry,John Adams,1776-07-21
801,Benjamin Franklin,George Washington,1776-07-22
802,Josiah Bartlett,John Langdon,1776-07-22
803,William Whipple,John Langdon,1776-07-22
804,Joseph Hewes,Samuel Purviance,1776-07-23
805,Thomas Jefferson,Francis Eppes,1776-07-23
806,Benjamin Rush,Charles Lee,1776-07-23
807,John Hancock,John Rutledge,1776-07-24
808,South Carolina Delegates,John Rutledge,1776-07-25
809,John Hancock,John Bradford,1776-07-25
810,John Hancock,George Washington,1776-07-26
811,Maryland Delegates, Maryland Council of Safety,1776-07-27
812,John Hancock,Joseph Trumbull,1776-07-27
813,Joseph Hewes,Samuel Johnston,1776-07-28
814,Thomas Jefferson,Richard Henry Lee,1776-07-29
815,John Adams,Mrs. Adams,1776-07-29
816,John Hancock,George Washington,1776-07-29
817,Josiah Bartlett,John Langdon,1776-07-29
818,North Carolina Delegates, North Carolina Council of Safety,1776-07-29
819,Thomas Jefferson,John Page,1776-07-30
820,Samuel Chase,Richard Henry Lee,1776-07-30
821,John Hancock,GeorRC Washington,1776-07-31
822,Ahraham Clark,James Caldwell,1776-08-01
823,Abraham Clark,James Caldwell,1776-08-02
824,John Hancock,George Washington,1776-08-02
825,North Carolina Delegates, North Carolina Council of Safety,1776-08-02
826,Samuel Adams,Joseph Trumbull,1776-08-03
827,John Hancock,John Haslet,1776-08-03
828,Caesar Rodney,Thomas Rodney,1776-08-03
829,John Adams,William Heath,1776-08-03
830,Thomas Jefferson,John Page,1776-08-05
831,Josiah Rartlett,John Langdon,1776-08-05
832,Board of War, Maryland Convention or Committee of Safety,1776-08-06
833,William Hooper,Jonathan Trumbull jr.,1776-08-06
834,William Williams,Joseph Trumbull,1776-08-07
835,Secret Committee,Silas Deane,1776-08-07
836,North Carolina Delegates, North Carolina Council of Safety,1776-08-07
837,John Hancock,George Washington,1776-08-08
838,Samuel Chase,Philip Schuyler,1776-08-09
839,North Carolina Delegates, North Carolina Council of Safety,1776-08-10
840,James Wilson,Jasper Yeates,1776-08-10
841,James Wilson,John Montgomery,1776-08-10
842,William Williams,Joseph Trumbull,1776-08-10
843,Josiah Bartlett,John Langdon,1776-08-11
844,William Williams,Oliver Wolcott,1776-08-12
845,Thomas Jefferson,Edmund Pendleton,1776-08-13
846,Francis Lewis,Mrs. Gates,1776-08-13
847,Secret Committee,George Washington,1776-08-14
848,John Adams,Mrs. Adams,1776-08-14
849,William Williams,Joseph Trumbull,1776-08-15
850,Philip Livingston, New York Convention,1776-08-16
851,Roger Sherman,Jonathan Trumbull jr.,1776-08-16
852,Rhode Island Delegates,Nicholas Cooke,1776-08-17
853,John Hancock,George Washington,1776-08-17
854,Josiah Bartlett,William Whipple,1776-08-18
855,John Adams,Samuel Adams,1776-08-18
856,Edward Rutledge,Robert R. Livingston,1776-08-19
857,John Adams,Samuel Holden Parsons,1776-08-19
858,William Williams,Joseph Trumbull,1776-08-20
859,Benjamin Franklin,Lord Howe,1776-08-20
860,John Adams,James Warren,1776-08-21
861,Benjamin Franklin,Thomas McKean,1776-08-24
862,John Hancock,George Washington,1776-08-24
863,John Adams,Henry Knox,1776-08-25
864,John Hancock,Artemus Ward,1776-08-26
865,Josiah Bartlett,William Whipple,1776-08-27
866,John Hancock,George Weedon,1776-08-28
867,Benjamin Franklin,Horatio Gates,1776-08-28
868,William Hooper,Jonathan Trumbull jr.,1776-08-28
869,Francis Lewis,Jonathan Trumbull jr.,1776-08-29
870,John Hancock,George Weedon,1776-08-30
871,Philip Livingston,Abraham Yates jr.,1776-08-30
872,Benjamin Franklin,Philip Mazzei,1776-08-30
873,Josiah Bartlett,Nathaniel Folsom,1776-09-02
874,Josiah Bartlett,William Whipple,1776-09-03
875,John Hancock, Maryland Convention,1776-09-03
876,Caesar Rodney,George Read,1776-09-04
877,Thomas Heyward jr.,John Morgan,1776-09-04
878,John Adams,James Warren,1776-09-04
879,John Wirspoon,Speech,1776-09-05
880,John Adams,Mrs. Adams,1776-09-06
881,Elbridge Gerry,John Wendell,1776-09-06
882,Samuel Huntington,Matw Griswold,1776-09-07
883,Samuel Huntington,Eliphalet Dyer,1776-09-07
884,Samuel Huntington,William Pitkin,1776-09-07
885,Caesar Rodney,George Read,1776-09-07
886,William Williams,Joseph Trumbull,1776-09-07
887,William Ellery,Nicholas Cooke,1776-09-07
888,Samuel Chase,Horatio Gates,1776-09-08
889,Benjamin Franklin,George Washington,1776-09-08
890,John Adams,James Warren,1776-09-08
891,Lewis Morris,John Jay,1776-09-08
892,John Hancock,George Washington,1776-09-08
893,John Hancock,George Washington,1776-09-10
894,Josiah Bartlett,William Whipple,1776-09-10
895,Edward Rutledge,George Washington,1776-09-11
896,Elbridge Gerry,Joseph Trumbull,1776-09-12
897,William Williams,Joseph Trumbull,1776-09-13
898,William Williams,Joseph Trumbull,1776-09-13
899,Caesar Rodney,George Read,1776-09-13
900,William Ellery,Nicholas Cooke,1776-09-14
901,Josiah Bartlett,William Whipple,1776-09-14
902,John Adams,Mrs. Adams,1776-09-14
903,Francis Lightfoot Lee,Landon Carter,1776-09-15
904,John Penn, North Carolina Council of Safety,1776-09-16
905,John Adams,Samuel Adams,1776-09-17
906,Robert Treat Paine,Peter Grubb,1776-09-18
907,Thomas Nelson jr.,John Page,1776-09-17
908,North Carolina Delegates, North Carolina Council of Safety,1776-09-18
909,Committee of Secret Correspondence,William Bingham,1776-09-21
910,03ine Committee,Thomas Gushing,1776-09-21
911,Edward Rutledge,Robert R. Livingston,1776-09-23
912,John Hancock, New Hampshire Assembly,1776-09-24
913,Benjamin Rush,Anthony Wayne,1776-09-24
914,Lewis Morris,Abraham Yates jr.,1776-09-24
915,Robert Treat Paine,S. P. Eve,1776-09-25
916,John Adams,James Warren,1776-09-25
917,Edward Rutledge,John Rutledge,1776-09-25
918,William Hooper,Robert R. Livingston,1776-09-25
919,Elbridge Gerry,Joseph Trumbull,1776-09-26
920,William Williams,Joseph Trumbull,1776-09-26
921,Richard Henry Lee,Thomas Jefferson,1776-09-27
922,Elbridge Gerry,Horatio Gates,1776-09-27
923,John Hancock,Philip Schuyler,1776-09-27
924,Philip Livingston,Abraham Yates jr.,1776-09-28
925,Benjamin Rush,Anthony Wayne,1776-09-29
926,John Adams,Henry Knox,1776-09-30
927,Secret Committee, Maryland Council of Safety,1776-10-01
928,Committee of Secret Correspondence,Statement,1776-10-01
929,John Hancock,Certificate,1776-10-01
930,John Hancock, New Jersey Assembly,1776-10-02
931,Edward Rutledge,Robert R. Livingston,1776-10-02
932,Caesar Rodney,Thomas Rodney,1776-10-02
933,John Hancock,George Washington,1776-10-04
934,Elbridge Gerry,Samuel Adams,1776-10-04
935,William Ellery,Nicholas Cooke,1776-10-05
936,Caesar Rodney,John Haslet,1776-10-06
937,Josiah Bartlett,John Langdon,1776-10-07
938,William Williams,Joseph Trumbull,1776-10-07
939,New York ndffratos, New York Convention,1776-10-07
940,Elbridge Gerry,Joseph Trumbull,1776-10-08
941,Elbridge Gerry,Horatio Gates,1776-10-09
942,William Williams,Joseph Tnimhull,1776-10-10
943,John Adams,Mrs. Adams,1776-10-11
944,Benjamin Rush,Thomas Wharton jr.,1776-10-11
945,Richard Henry Lee,Samuel Purviance jr.,1776-10-11
946,John Hlancock, Convention of Maryland,1776-10-12
947,Josiah Bartlett,John Lanpdoti,1776-10-15
948,Klhrid Kcderry,Joseph Trumbull,1776-10-17
949,Edward Rutledne,Robert R. Livingston,1776-10-19
950,Josiah Hartlctt,John Langdon,1776-10-19
951,Elbridge Gerry,Joseph Trumbull,1776-10-22
952,Ministar of War,Nathanael Greene,1776-10-22
953,Henjamin Rush,Thomas Morris,1776-10-22
954,Committee of Secret Correspondence,Silas Deane,1776-10-23
955,Committee of Secret Correspondence,Silas Deane,1776-10-24
956,Committee of Secret Correspondence, Commissioners in Paris,1776-10-24
957,Board of War,George Washington,1776-10-24
958,William Ellery,Nicholas Cooke,1776-10-26
959,New York Delegates, New York Convention,1776-10-26
960,Abraham Clark,Elias Dayton,1776-10-26
961,Robert Morris,Horatio Gates,1776-10-27
962,John Hancock,George Washington,1776-10-28
963,William Hooper, President of North Carolina Convention,1776-10-29
964,John Wirspoon,Horatio Gates,1776-10-30
965,Benjamin Rush,Thomas Wharton jr.,1776-11-01
966,William Hooper, North Carolina Provincial Congress,1776-11-01
967,John Hancock,George Washington,1776-11-05
968,Robert Morris,George Read,1776-11-06
969,William Williams,Jonathan Trumbull jr.,1776-11-06
970,Samuel Adams,James Warren,1776-11-06
971,Edward Rutledge,Philip Schuyler,1776-11-06
972,William Whipple,John Langdon,1776-11-07
973,William Whipple,Josiah Bartlett,1776-11-08
974,Board of War, Maryland Council of Safety,1776-11-08
975,William Hooper,Joseph Hewes,1776-11-08
976,Board of War,George Washington,1776-11-08
977,John Hancock,George Washington,1776-11-09
978,Francis Lightfoot Lee,Landon Carter,1776-11-09
979,Elbridge Gerry,John Wendell,1776-11-11
980,George Wy,Thomas Jefferson,1776-11-11
981,John Hancock, Commissioners from Maryland,1776-11-13
982,John Hancock,George Washington,1776-11-14
983,John Wirspoon,William Livingston,1776-11-14
984,John Hancock, North Carolina Convention,1776-11-15
985,John Hancock,George Washington,1776-11-16
986,William Hooper,Richard Caswell,1776-11-16
987,William Hooper,Joseph Hewes,1776-11-16
988,William Ellery,Nicholas Cooke,1776-11-16
989,William Whipple,Josiah Bartlett,1776-11-16
